Location #,Type,Size,Location,Barcode,Serial Number,Pass Y/N,< 5ft Y/N,Date Inspected,Initials
EG-01,ABC,10LBS,Gr fl Cancer Center main entrance by soiled utl rm,761598,F44671156,,,,
EG-02,ABC,10LBS,Gr fl Cancer Center hall next to mech rm,761321,G16812994,,,,
EG-04,ABC,10LBS,Gr fl Cancer Center conference room ,761597,F44671152,,,,
EG-05,ABC,10LBS,Gr fl mech rm across from Cancer Center at vending,,F44671165,,,,
EG-06,ABC,10LBS,Gr fl by East Main elevator,761569,F46781819,,,,
MHG-07,ABC,5LBS,Gr fl Clinical lab core lab,281823,G31902898,,,,
MHG-07A,ABC,5LBS,Gr fl Clinical lab by receiving ,281801,H07166657,,,,
MHG-08,ABC,10LBS,Gr fl mech rm across from core lab,761307,G16809107,,,,
MHG-09,ABC,10LBS,Gr fl blood bank rm,761140,F70314322,,,,
MHG-10,ABC,10LBS,Gr fl physicians parking by mech rm,761768,I17695172,,,,
MHG-11,ABC,10LBS ,Gr fl physicians parking mech rm by phys. Entrance,761628,G16810018,,,,
MHG-12,ABC,10LBS,Gr fl physicians parking air handler room,761115,F70303694,,,,
,ABC,10LBS,Gr fl HVAC 6007,761699,E93397384,,,,
,ABC,10LBS,Gr fl Emergency Electrical 6006,761703,F96703811,,,,
,ABC,10LBS,Gr fl Electrical 6005,761702,H26371281,,,,
,ABC,10LBS,Gr fl IDF Room 6004,761701,H20309654,,,,
,ABC,10LBS,Gr fl HVAC 6002,761698,H20321057,,,,
,ABC,10LBS,Gr fl Entrance to Doctors Parking Ground,761696,F96703856,,,,
MHG-13,ABC,10LBS,Gr fl hallway by blood bank ,761570,E77822753,,,,
MHG-14 ,ABC,5LBS,Gr fl hallway at Pathology ,761316,G13245593,,,,
MHG-16,ABC,10LBS,Gr fl Pharmacy ,761574,E77613032,,,,
MHG-17,ABC,10LBS,Gr fl Pharmacy ,761697,F44671112,,,,
MHG-18,ABC,5LBS,Gr fl Pharmacy office,761760,I17720543,,,,
MHG-19,ABC,10LBS,Gr fl central supply storage,,F44671120,,,,
MHG-20,ABC,10LBS,Gr fl EVS washroom,761134,F70303698,,,,
,ABC,5LBS,Gr fl physicians parking North tower elevator room,761769,I17713229,,,,
,ABC,10LBS,Gr fl sterile processing back hall ,761575,F65799789,,,,
,ABC,10LBS,Gr fl sterile processing dept back door,761582,F62645479,,,,
,ABC,10LBS,Gr fl sterile processing by steam 1,761581,F62647545,,,,
,ABC,10LBS,Gr fl sterile processing by back door,761579,E77614031,,,,
,ABC,10LBS,Gr fl sterile processing by tools,761580,F59187417,,,,
MHG-24,ABC,10LBS,Gr fl Sterile Processing dirty side exit,761578,F62645480,,,,
MHG-27,ABC,10LBS,Gr fl loading dock by door,761576,F46777799,,,,
MHG-28,ABC,20LBS,Gr fl sterile processing dirty side by riser room,761577,F62646818,,,,
MHG-29,ABC,10LBS,Gr fl main hall by boiler room,761762,I17694806,,,,
MHG-30,ABC,10LBS,Gr fl maintenance shop by uniforms,411867,AU462749,,,,
MHG-31,ABC,10LBS,Gr fl maintenance shop by plumbers shop,761139,F70313475,,,,
MHG-30A,ABC,10LBS,Gr fl mech rm by sterile processing (trash hall),761584,E77614030,,,,
MHG-31 ,ABC,10LBS,Gr fl by gr fl maintenance shop,761135,F59522807,,,,
MHG-32,ABC,5LBS,Gr fl boiler rm control rm by exit ,761755,I15995281,,,,
MHG-33,BC,10LBS,Gr fl maintenance fire panel room,761758,I07098503,,,,
MHG-34,BC,10LBS,Gr fl electrical closet across from Node 3 LTC,764757,I07098502,,,,
MHG-35,ABC,10LBS,Gr fl boiler room bottom of stairs,,F44671125,,,,
MHG-36,ABC,20LBS,Gr fl upper boiler room by main elec rm,761130,F70312771,,,,
MHG-44,ABC,10LBS,Gr fl main elec switch gear 03,761754,C94508498,,,,
MHG-37,ABC,10LBS,Gr fl upper boiler roomexit door to alley,,F44671153,,,,
,K,10LBS,Gr fl kitchen patient services next to hood sys pull,761774,I09863361,,,,
,K,10LBS,Gr fl kitchen prep next to hood systems pull,761318,G05670146,,,,
,ABC,10LBS,Gr fl kitchen by double doors,761571,F46779136,,,,
,ABC,10LBS,Gr fl kitchen by production managed cooler,761772,I17696496,,,,
,ABC,10LBS,Gr fl kitchen by canned soft drink storage,761771,I19694808,,,,
